Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
A 	3981	136	+	513	9626373	2546398	-	phiX174p01	-
A* 	4497	136	+	341	9626374	2546406	-	phiX174p02	-
B 	5075	51	+	120	9626375	2546405	-	phiX174p03	-
K 	51	221	+	56	9626376	2546403	-	phiX174p04	-
C 	133	393	+	86	9626377	2546402	-	phiX174p05	-
D 	390	848	+	152	9626378	2546399	-	phiX174p07	-
E 	568	843	+	91	9626379	2546400	-	phiX174p08	-
J 	848	964	+	38	9626380	2546404	-	phiX174p09	-
F 	1001	2284	+	427	9626381	2546408	-	phiX174p06	-
G 	2395	2922	+	175	9626382	2546401	-	phiX174p10	-
H 	2931	3917	+	328	9626383	2546407	-	phiX174p11	-
